!konkombers	NSE konkombers
!konkomberse	NSM konkombers
!konkombersie	NSED konkombers
!konkombersies	NSMD konkombers
10e_Laan	NEE Tiende_Laan
11e_Laan	NEE Elfde_Laan
12e_Laan	NEE Twaalfde_Laan
13e_Laan	NEE Dertiende_Laan
16-klepper	NSE sestienklepper
16-kleppers	NSM sestienklepper
1e_Vryheidsoorlog	NEE Eerste_Vryheidsoorlog
23e_Straat	NEE Drie-en-twintigste_Straat
2e_Vryheidsoorlog	NEE Tweede_Vryheidsoorlog
3e_Laan	NEE Derde_Laan
4-vektor	NSE viervektor
4-vektore	NSM viervektor
4-vektors	NSM viervektor
5de_Laan	NEE Vyfde_Laan
5de_Straat	NEE Vyfde_Straat
6de_Laan	NEE Sesde_Laan
9de_Laan	NEE Negende_Laan
a_capella	BS a_cappella
A_capella	BS a_cappella
A_cappella	BS a_cappella
A_fortiori	BS a_fortiori
A_ja_a	W a_ja_a
A_la	SVS à_la
a_la_carte	BS à_la_carte
A_la_carte	BS à_la_carte
À_la_carte	BS à_la_carte
A_nee_a	W a_nee_a
a_pari	BS à_pari
A_pari	BS à_pari
A_posteriori	BS a_posteriori
à_posteriori	BS a_posteriori
A_priori	BS a_priori	NSE a_priori
à_priori	BS a_priori	NSE a_priori
A_priori's	NSM a_priori
à_priori's	NSM a_priori
A_priori-stelling	NSE a_priori-stelling
à_priori-stelling	NSE a_priori-stelling
A_quo	BS a_quo
Àµ_la	SVS à_la
Aan_die_beterhand	BS aan_die_beterhand
aandele-opsie	NSE aandeleopsie
aandele-opsiebedrog	NSE aandeleopsiebedrog
aandele-opsies	NSM aandeleopsie
aanlyn-aansoekproses	NSE aanlynaansoekproses
aanlyn-aktiwiteit	NSE aanlynaktiwiteit
aanlyn-aktiwiteite	NSM aanlynaktiwiteit
aanlyn-kletskamer	NSE aanlynkletskamer
aanlyn-kletskamers	NSM aanlynkletskamer
aanlynkoop-webwerf	NSE aanlynkoopwebwerf
aanlynkoop-webwerwe	NSM aanlynkoopwebwerf
aanlyn-media	NSM aanlynmedia
aanlyn-registrasie	NSE aanlynregistrasie
aanlyn-skoleregistrasieproses	NSE aanlynskoleregistrasieproses
aanlyn-skoleregistrasieprosesse	NSM aanlynskoleregistrasieproses
aarbeijoghurt	NSE aarbeijogurt
aardolie-aktiwiteite	NSM aardolieaktiwiteite
aardolie-ontginning	NSE aardolieontginning
aardrykskunde-onderwys	NSE aardrykskundeonderwys
aardwetenskappe-navorsing	NSE aardwetenskappenavorsing
Aasvoelstraat	NEE Aasvoëlstraat
AB_Inbev	NEE AB_InBev
Abeda_Khan-straat	NEE Abeda_Khanstraat
Abkhasië	NEE Abchasië
aborsie-wetgewing	NSE aborsiewetgewing
abraham-boekpens	NSE abrahamboekpens
Abraham-boekpens	NSE abrahamboekpens
abraham-boekpense	NSM abrahamboekpens
Abraham-boekpense	NSM abrahamboekpens
Abu_Dhabi	NEE Aboe_Dhabi
Abu_Dhabiër	NEE Aboe_Dhabiër
Abu_Dhabiërs	NEM Aboe_Dhabiër
Abu_Dhabies	ASP Aboe_Dhabies
Abu_Dhabiese	ASA Aboe_Dhabies
Accra	NEE Akkra
Achaïes	ASP Agaïes
Achaïese	ASA Agaïes
Achaje	NEE Agaje
Achajer	NEE Agajer
Achajers	NEM Agajer
Acheul-industrie	NEE Acheulindustrie
achilleshiel	NSE agilleshiel
achillespees	NSE agillespees
achillespese	NSM agillespees
achillessening	NSE agillessening
achillessenings	NSM agillessening
achillestendon	NSE agillestendon
achillestendons	NSM agillestendon
achillies	ASP agillies
achilliese	ASA agillies
Acta_synodi	NSM acta_synodi
Actuarii_synodi	NSM actuarius_synodi
Actuarius_synodi	NSE actuarius_synodi
Ad_absurdum	BS ad_absurdum
Ad_fundum	BS ad_fundum
Ad_hoc	BS ad_hoc
Ad_hoc-besluit	NSE ad_hoc-besluit
Ad_hoc-besluite	NSM ad_hoc-besluit
Ad_hoc-groep	NSE ad_hoc-groep
Ad_hoc-groepe	NSM ad_hoc-groep
Ad_hoc-komitee	NSE ad_hoc-komitee
Ad_hoc-komitees	NSM ad_hoc-komitee
Ad_hoc-kommissie	NSE ad_hoc-kommissie
Ad_hoc-kommissies	NSM ad_hoc-kommissie
Ad_hoc-versoek	NSE ad_hoc-versoek
Ad_hoc-versoeke	NSM ad_hoc-versoek
Ad_hominem	BS ad_hominem
Ad_honorem	BS ad_honorem
Ad_infinitum	BS ad_infinitum
Ad_initium	BS ad_initium
Ad_interim	BS ad_interim
Ad_libitum	BS ad_libitum
Ad_nauseam	BS ad_nauseam
Ad_personam	BS ad_personam
Ad_rem	BS ad_rem
Ad_valorem	BS ad_valorem
Addis_Ababa	NEE Addis_Abeba
Adidas-skoene	NSM Adidasskoene
adjudant-offisier	NSE adjudantoffisier
adjudant-offisiere	NSM adjudantoffisier
adjudant-offisiers	NSM adjudantoffisier
