!Kheis	Kheis
a_cappella	a_capella
a_cappella	A_capella
a_cappella	A_cappella
a_fortiori	A_fortiori
a_ja_a	A_ja_a
à_la	A_la
à_la	Àµ_la
à_la_carte	a_la_carte
à_la_carte	A_la_carte
à_la_carte	À_la_carte
a_nee_a	A_nee_a
à_pari	a_pari
à_pari	A_pari
a_posteriori	A_posteriori
a_posteriori	à_posteriori
a_priori	A_priori
a_priori	à_priori
a_priori's	A_priori's
a_priori's	à_priori's
a_priori-stelling	A_priori-stelling
a_priori-stelling	à_priori-stelling
a_quo	A_quo
aan_die_beterhand	Aan_die_beterhand
aandeleopsie	aandele-opsie
aandeleopsiebedrog	aandele-opsiebedrog
aandeleopsies	aandele-opsies
aanlynaansoekproses	aanlyn-aansoekproses
aanlynaktiwiteit	aanlyn-aktiwiteit
aanlynaktiwiteite	aanlyn-aktiwiteite
aanlynkletskamer	aanlyn-kletskamer
aanlynkletskamers	aanlyn-kletskamers
aanlynkoopwebwerf	aanlynkoop-webwerf
aanlynkoopwebwerwe	aanlynkoop-webwerwe
aanlynmedia	aanlyn-media
aanlynregistrasie	aanlyn-registrasie
aanlynskoleregistrasieproses	aanlyn-skoleregistrasieproses
aanlynskoleregistrasieprosesse	aanlyn-skoleregistrasieprosesse
aarbeijogurt	aarbeijoghurt
aardolieaktiwiteite	aardolie-aktiwiteite
aardolieontginning	aardolie-ontginning
aardrykskundeonderwys	aardrykskunde-onderwys
aardwetenskappenavorsing	aardwetenskappe-navorsing
Aasvoëlstraat	Aasvoelstraat
AB_InBev	AB_Inbev
Abchasië	Abkhasië
Abeda_Khanstraat	Abeda_Khan-straat
Aboe_Dhabi	Abu_Dhabi
Aboe_Dhabiër	Abu_Dhabiër
Aboe_Dhabiërs	Abu_Dhabiërs
Aboe_Dhabies	Abu_Dhabies
Aboe_Dhabiese	Abu_Dhabiese
aborsiewetgewing	aborsie-wetgewing
abrahamboekpens	abraham-boekpens
abrahamboekpens	Abraham-boekpens
abrahamboekpense	abraham-boekpense
abrahamboekpense	Abraham-boekpense
Acheulindustrie	Acheul-industrie
acta_synodi	Acta_synodi
actuarii_synodi	Actuarii_synodi
actuarius_synodi	Actuarius_synodi
ad_absurdum	Ad_absurdum
ad_fundum	Ad_fundum
ad_hoc	Ad_hoc
ad_hoc-besluit	Ad_hoc-besluit
ad_hoc-besluite	Ad_hoc-besluite
ad_hoc-groep	Ad_hoc-groep
ad_hoc-groepe	Ad_hoc-groepe
ad_hoc-komitee	Ad_hoc-komitee
ad_hoc-komitees	Ad_hoc-komitees
ad_hoc-kommissie	Ad_hoc-kommissie
ad_hoc-kommissies	Ad_hoc-kommissies
ad_hoc-versoek	Ad_hoc-versoek
ad_hoc-versoeke	Ad_hoc-versoeke
ad_hominem	Ad_hominem
ad_honorem	Ad_honorem
ad_infinitum	Ad_infinitum
ad_initium	Ad_initium
ad_interim	Ad_interim
ad_libitum	Ad_libitum
ad_nauseam	Ad_nauseam
ad_personam	Ad_personam
ad_rem	Ad_rem
ad_valorem	Ad_valorem
Addis_Abeba	Addis_Ababa
Adidasskoene	Adidas-skoene
Adjarië	Adzjarië
Adjariër	Adzjariër
Adjariërs	Adzjariërs
Adjaries	Adzjaries
Adjariese	Adzjariese
adjudantoffisier	adjudant-offisier
adjudantoffisiere	adjudant-offisiere
adjudantoffisiers	adjudant-offisiers
Adjudantweg	Adjutantweg
adjunk-aanklaer-generaal	adjunkaanklaer-generaal
adjunk-aanklaers-generaal	adjunkaanklaers-generaal
adjunkadministrateur	adjunk-administrateur
adjunkadministrateurs	adjunk-administrateurs
adjunkbestuurshoof	adjunk-bestuurshoof
adjunkbestuurshoofde	adjunk-bestuurshoofde
adjunkburgemeester	adjunk-burgemeester
adjunkburgemeesters	adjunk-burgemeesters
adjunkdekaan	adjunk-dekaan
adjunkdekane	adjunk-dekane
adjunkdirekteur	adjunk-direkteur
adjunkdirekteure	adjunk-direkteure
adjunk-direkteure-generaal	adjunkdirekteure-generaal
adjunk-direkteur-generaal	adjunkdirekteur-generaal
adjunkdirekteurs	adjunk-direkteurs
adjunk-direkteurs-generaal	adjunkdirekteurs-generaal
adjunkgoewerneur	adjunk-goewerneur
adjunkgoewerneurs	adjunk-goewerneurs
adjunkhoof	adjunk-hoof
adjunkhoofbeampte	adjunk-hoofbeampte
adjunkhoofbeamptes	adjunk-hoofbeamptes
adjunkhoofde	adjunk-hoofde
adjunkhoofnavorser	adjunk-hoofnavorser
adjunkhoofnavorsers	adjunk-hoofnavorsers
adjunkhoofregter	adjunk-hoofregter
adjunkhoofregters	adjunk-hoofregters
adjunkhoofstadsingenieur	adjunk-hoofstadsingenieur
adjunkhoofstadsingenieurs	adjunk-hoofstadsingenieurs
adjunk-inspekteur-generaal	adjunkinspekteur-generaal
adjunk-inspekteurs-generaal	adjunkinspekteurs-generaal
adjunkkommissaris	adjunk-kommissaris
adjunkkommissarisse	adjunk-kommissarisse
adjunklanddros	adjunk-landdros
adjunklanddroste	adjunk-landdroste
adjunkleier	adjunk-leier
adjunkleiers	adjunk-leiers
adjunkminister	adjunk-minister
adjunkministers	adjunk-ministers
adjunkpremier	adjunk-premier
adjunkpremiers	adjunk-premiers
adjunkpresident	adjunk-president
adjunkpresidente	adjunk-presidente
adjunkredakteur	adjunk-redakteur
adjunkredakteure	adjunk-redakteure
adjunkredakteurs	adjunk-redakteurs
adjunk-regter-president	adjunk-regterpresident
adjunk-regters-president	adjunkregterpresidente
adjunksekretaris	adjunk-sekretaris
adjunk-sekretaris-generaal	adjunksekretaris-generaal
adjunksekretarisse	adjunk-sekretarisse
adjunk-sekretarisse-generaal	adjunksekretarisse-generaal
adjunkspeaker	adjunk-speaker
adjunkspeakers	adjunk-speakers
adjunkvisekanselier	adjunk-visekanselier
adjunkvisekanseliere	adjunk-visekanseliere
adjunkvisekanseliers	adjunk-visekanseliers
adjunkvoorsitter	adjunk-voorsitter
adjunkvoorsitters	adjunk-voorsitters
adrenaline-inspuiting	adrenalineinspuiting
adrenaline-inspuitinge	adrenalineinspuitinge
adrenaline-inspuitings	adrenalineinspuitings
Adri_Faasstraat	Adri_Faas-straat
adverbia	adwerbia
adverbiaal	adwerbiaal
adverbiale	adwerbiale
adverbium	adwerbium
adverbiums	adwerbiums
advertensieagentskap	advertensie-agentskap
advertensieagentskappe	advertensie-agentskappe
advertensieowerhede	advertensie-owerhede
advertensieowerheid	advertensie-owerheid
Advertensiestandaardeowerheid	Advertensiestandaarde-owerheid
adviesburo	adviesbureau
adviesburo's	adviesbureaus
advocati_diaboli	Advocati_diaboli
advocatus_diaboli	Advocatus_diaboli
aërojel	aerogel
af_en_toe	Af_en_toe
af_en_toe	afentoe
af_en_toe	Afentoe
afdelingstitel	afdelingtitel
afdelingstitels	afdelingtitels
afdreigkultuur	afdreig-kultuur
afelium	aphelium
afeliums	apheliums
afgaan	afghaan
Afgaan	Afghaan
Afgaans	Afghaans
Afgaanse	Afghaanse
afgane	afghane
Afgane	Afghane
Afganistan	Afghanistan
afkwark	af-kwark
afkwarke	af-kwarke
Africana	Afrikana
Africanamusea	Afrikanamusea
Africanamuseum	Afrikanamuseum
Africanamuseums	Afrikanamuseums
Africanaversamelaar	Afrikanaversamelaar
Africanaversamelaars	Afrikanaversamelaars
Afrikaanseksamen	Afrikaans-eksamen
Afrikaanseksamens	Afrikaans-eksamens
Afrikaanskollokwium	Afrikaans-kollokwium
Afrikaanskurrikulum	Afrikaans-kurrikulum
Afrikaanskursus	Afrikaans-kursus
Afrikaanskursusse	Afrikaans-kursusse
Afrikaansleerder	Afrikaans-leerder
Afrikaansleerders	Afrikaans-leerders
Afrikaansmediumkollege	Afrikaansmedium-kollege
Afrikaansmediumkolleges	Afrikaansmedium-kolleges
Afrikaansolimpiade	Afrikaans-olimpiade
Afrikaansolimpiade	Afrikaans-Olimpiade
Afrikaansolimpiades	Afrikaans-olimpiades
Afrikaansolimpiades	Afrikaans-Olimpiades
Afrikaansonderrig	Afrikaans-onderrig
Afrikaansonderwyser	Afrikaans-onderwyser	
Afrikaansonderwyseres	Afrikaans-onderwyseres
Afrikaansonderwyseresse	Afrikaans-onderwyseresse
Afrikaansonderwysers	Afrikaans-onderwysers
Afrikaansopgelei	Afrikaans-opgelei
Afrikaansopgeleid	Afrikaans-opgeleid
Afrikaansopgeleide	Afrikaans-opgeleide
Afrikaansvraestel	Afrikaans-vraestel
Afrikaansvraestelle	Afrikaans-vraestelle
Afrikaansweergawe	Afrikaans-weergawe
Afrikaaps	AfriKaaps
